avganncount,avgdeathsperyear,target_deathrate,incidencerate,medincome,popest2015,povertypercent,studypercap,binnedinc,medianage,medianagemale,medianagefemale,geography,percentmarried,pctnohs18_24,pcths18_24,pctbachdeg18_24,pcths25_over,pctbachdeg25_over,pctemployed16_over,pctunemployed16_over,pctprivatecoverage,pctprivatecoveragealone,pctempprivcoverage,pctpubliccoverage,pctpubliccoveragealone,pctwhite,pctblack,pctasian,pctotherrace,pctmarriedhouseholds,birthrate,log_medincome,avg_cases_per_100,avg_deaths_per_100,case_fatality_rate,income_group,public_only_reliance,private_only_reliance,state,case_fatality_groups_three,case_fatality_groups_five,medincome_related_avg,residuals
113.0,36,121.4,413.3,54721,16252,12.7,0.0,"(54545.6, 61494.5]",54.4,54.0,54.6,"San Juan County, Washington",56.8,17.7,32.4,5.2,17.2,26.2,54.6,5.9,67.2,54.72928538189183,27.9,41.6,18.3,92.57332665,0.651792429,1.428929556,2.237402858,50.0389206,4.586129754,10.91000282698325,0.6952990401181393,0.22151119862170812,0.3185840707964602,High,Middle,High,Washington,Low,Low,0.4516582227624292,-0.05835494787274559
740.0,269,172.7,499.3,51395,121846,15.7,837.1222691,"(51046.4, 54545.6]",41.0,40.0,42.2,"Skagit County, Washington",53.6,25.5,33.8,3.1,26.7,15.9,54.5,8.2,64.4,52.553259630449475,38.0,38.1,20.2,85.59027341,0.806079954,1.887835902,6.226590583,52.93732685,5.818153266,10.847296170447022,0.6073239991464635,0.22077048077080905,0.3635135135135135,High,Middle,Middle,Washington,Low,Low Middle,0.18204146886566078,-0.0249159398584633
55.0,26,188.3,398.9,52673,11339,12.6,0.0,"(51046.4, 54545.6]",45.2,44.9,45.5,"Skamania County, Washington",54.4,20.0,43.8,2.4,29.2,14.2,51.5,8.3,64.4,49.7,42.6,36.1,20.5,93.41812683,0.844970204,0.978386552,0.773814818,52.94771969,4.805591962,10.87185826927572,0.4850515918511333,0.22929711614780843,0.4727272727272727,High,Middle,Middle,Washington,High,High,0.23511520742507155,0.0842978193552959
3438.0,1118,165.3,493.4,71890,772501,9.9,138.5111476,"(61494.5, 125635]",37.6,36.6,38.7,"Snohomish County, Washington",52.1,15.4,33.3,8.3,24.3,20.9,62.1,7.5,73.3,61.6,54.3,25.9,14.1,78.83273756,2.595851085,9.51151338,2.252719804,52.72049671,4.729251068,11.182892451977917,0.44504796757544646,0.14472473174792008,0.3251890634089587,High,Low,High,Washington,Low,Low,1.451130301458559,-0.026717222514924366
2265.0,901,171.0,440.7,50083,490945,16.3,462.3735856,"(48021.6, 51046.4]",37.2,35.7,38.7,"Spokane County, Washington",49.4,10.9,29.3,8.6,25.7,18.1,55.1,8.4,65.2,50.6,42.5,36.5,21.4,89.03816718,1.827041461,2.315985625,1.03362505,48.18837711,5.355835918,10.821436908133153,0.46135514161464114,0.1835236126246321,0.3977924944812362,High,Middle,Middle,Washington,Middle,Middle,0.16512493624027627,0.012646022452908301
251.0,106,174.2,423.8,43823,43791,19.3,0.0,"(42724.4, 45201]",46.2,45.6,46.8,"Stevens County, Washington",57.2,25.1,35.3,3.9,34.4,10.7,46.3,9.4,58.3,39.3,33.9,45.8,24.1,89.17745936,0.489115459,0.603931294,0.865711399,55.21239889,3.631082062,10.687914072695598,0.5731771368546048,0.24205887054417574,0.42231075697211157,Middle,High,Low,Washington,Middle,Middle High,-0.41887922567188995,0.008848570854812055
1390.0,483,169.9,495.9,61653,269536,11.9,207.7644545,"(61494.5, 125635]",38.5,37.1,39.9,"Thurston County, Washington",52.4,14.8,31.7,7.4,22.7,20.3,56.5,8.5,74.5,55.4,43.5,30.7,13.7,82.58622199,2.839873174,5.83580425,1.226386727,50.87449211,5.180155167,11.02927716920903,0.5157010566306541,0.17919684198029207,0.3474820143884892,High,Low,High,Washington,Low,Low,1.0823542942671434,0.0005002004800794269
32.0,12,153.8,463.2,51022,4042,13.9,0.0,"(48021.6, 51046.4]",52.1,51.5,53.1,"Wahkiakum County, Washington",53.5,37.2,20.8,4.2,33.1,10.1,35.7,10.6,64.7,38.6,35.2,49.7,20.4,92.96158612,0.123915737,1.140024783,0.0,53.37995338,0.535475234,10.840012191241092,0.7916872835230084,0.29688273132112813,0.375,High,Middle,Low,Washington,Low,Low Middle,0.18063969001421654,-0.012198335368108493
305.0,120,162.8,442.5,49819,60338,15.7,464.0525042,"(48021.6, 51046.4]",36.9,35.5,39.1,"Walla Walla County, Washington",46.5,13.7,29.2,5.6,22.6,16.4,54.5,6.4,65.7,47.6,40.0,38.0,18.8,86.23882396,1.649198004,1.617386063,5.63573653,49.3270649,4.138710893,10.816151716354584,0.5054857635321025,0.1988796446683682,0.39344262295081966,Middle,Middle,Middle,Washington,Middle,Middle,0.1776420866350389,0.010348014262272276
1081.0,367,163.3,490.9,53733,212284,15.7,249.6655424,"(51046.4, 54545.6]",36.5,35.6,37.5,"Whatcom County, Washington",47.5,9.4,22.1,7.7,23.0,21.3,57.8,8.2,68.7,54.6,44.8,31.9,17.4,85.4703042,0.880733945,3.925156929,2.425881217,48.06875024,4.4729858,10.891782616893368,0.5092234930564715,0.17288161142620262,0.33950046253469013,High,Middle,High,Washington,Low,Low,0.48107003955106403,-0.03128296611517395
134.0,50,140.8,390.5,41837,48177,28.4,0.0,"(40362.7, 42724.4]",24.2,24.4,23.9,"Whitman County, Washington",36.1,1.2,16.4,10.3,17.4,25.7,53.4,8.8,78.3,66.2,53.8,22.9,11.9,83.58260051,2.154609838,7.614951751,1.61542247,40.55405483,3.304159034,10.641536394447272,0.27814102164933474,0.10378396330199058,0.373134328358209,Middle,Low,High,Washington,Low,Low Middle,0.4378742661815161,0.041746675832131375
958.0,403,169.4,411.0,44342,248830,20.5,301.4106016,"(42724.4, 45201]",32.5,31.6,33.6,"Yakima County, Washington",48.6,28.7,39.3,3.0,27.8,9.8,56.0,9.0,54.6,42.3,30.8,35.7,22.4,78.02051672,0.842737502,1.089697989,12.95026838,50.66898414,6.560611666,10.699687588152155,0.3850018084636097,0.16195796326809467,0.42066805845511485,Middle,High,Low,Washington,Middle,Middle High,-0.571083278919683,-0.0079779163765607
94.0,41,189.7,445.2,35615,16704,21.5,0.0,"(34218.1, 37413.8]",41.5,40.9,42.1,"Barbour County, West Virginia",52.0,9.8,36.1,8.3,47.1,7.9,46.5,9.0,55.6,40.1,36.5,44.8,26.4,96.84418146,0.836770068,0.37654653,0.029884645,55.28885946,2.292860865,10.480522176412455,0.5627394636015326,0.24545019157088122,0.43617021276595747,Low,High,Low,West Virginia,High,Middle High,-0.8865431740993353,0.011627964613842967
499.0,215,206.1,463.1,56737,111901,13.2,89.3647063,"(54545.6, 61494.5]",38.4,38.0,38.6,"Berkeley County, West Virginia",51.8,17.0,40.8,10.0,38.2,12.7,58.7,9.7,70.0,55.98475738024587,49.7,33.1,17.3,87.80122144,7.333247489,1.052205585,0.905963725,51.52350516,4.872468117,10.94618183421212,0.4459298844514348,0.19213411855121937,0.4308617234468938,High,Middle,High,West Virginia,High,Middle High,0.6668723181984557,0.06541313948045907
152.0,70,236.7,501.8,37625,23372,22.1,0.0,"(37413.8, 40362.7]",41.9,41.2,43.2,"Boone County, West Virginia",55.2,21.3,42.9,5.2,49.4,5.4,39.5,9.2,60.2,42.8,41.3,46.3,25.4,98.3125,0.675,0.091666667,0.129166667,53.06378967,4.220287661,10.535424002051176,0.650350847167551,0.29950367961663527,0.4605263157894737,Low,High,Low,West Virginia,High,High,-0.5870475886541291,0.05486121036334024
80.0,40,196.3,396.6,33817,14415,22.2,0.0,"[22640, 34218.1]",44.5,43.7,45.3,"Braxton County, West Virginia",52.4,32.6,46.2,3.4,49.1,8.5,44.3,14.4,56.1,41.9,38.9,43.4,25.4,97.91234619,0.497718789,0.0,0.0,53.27269485,5.469020422,10.42871891360972,0.5549774540409296,0.2774887270204648,0.5,Low,High,Low,West Virginia,High,High,-0.9377311214746322,0.07750961518766608
164.0,69,186.2,481.6,43572,23350,15.1,0.0,"(42724.4, 45201]",45.9,44.1,48.0,"Brooke County, West Virginia",50.3,11.1,30.6,3.8,43.7,11.0,51.9,6.4,68.3,49.5,46.4,39.7,19.4,96.81808578,1.745193323,0.515529263,0.063384745,47.58723829,4.970530452,10.682170021202337,0.702355460385439,0.2955032119914347,0.42073170731707316,Middle,Middle,Middle,West Virginia,Middle,Middle High,0.04031185046692787,0.04830678799538457
564.0,237,194.0,483.4,34887,96844,21.9,330.4283177,"(34218.1, 37413.8]",38.5,36.9,39.9,"Cabell County, West Virginia",43.0,9.7,28.2,11.5,31.9,14.8,50.3,6.8,63.3,48.2,44.4,39.0,21.7,91.06936297,4.818020326,1.189787656,0.228249194,40.76501639,4.521925134,10.459869545961153,0.5823799099582835,0.2447234728016191,0.42021276595744683,Low,High,Middle,West Virginia,Middle,Middle High,-0.5551727123111575,0.027269213237952783
50.0,25,226.5,459.9,32162,7470,21.8,0.0,"[22640, 34218.1]",47.0,47.6,46.5,"Calhoun County, West Virginia",55.7,11.6,31.4,0.0,48.9,7.6,39.9,18.1,52.4,36.5,35.1,46.0,25.2,98.25327511,0.09262935,0.052931057,0.026465529,53.33333333,4.780114723,10.37854091041397,0.6693440428380187,0.33467202141900937,0.5,Low,High,Low,West Virginia,High,High,-1.180218670519107,0.06232582647328999
70.0,26,212.9,591.0,32961,8910,25.1,4938.271605,"[22640, 34218.1]",43.3,43.4,43.3,"Clay County, West Virginia",55.8,19.5,51.1,0.0,49.1,5.8,39.6,12.3,48.7,33.7,32.6,52.0,32.5,98.04178974,0.0,0.0,0.043758889,58.09248555,8.753056235,10.403080323368991,0.7856341189674524,0.29180695847362514,0.37142857142857144,Low,High,Low,West Virginia,Low,Low Middle,-1.3207946746302528,-0.0814293908125146
25.0,19,185.6,234.0,41838,8176,17.4,0.0,"(40362.7, 42724.4]",43.7,41.8,45.5,"Doddridge County, West Virginia",45.8,26.2,61.7,1.9,44.3,8.8,41.0,6.5,55.2,37.7,35.5,45.2,25.4,96.67113767,1.085233508,0.085355444,0.0,53.92670157,6.016466118,10.641560296449066,0.3057729941291585,0.23238747553816047,0.76,Middle,High,Low,West Virginia,High,High,-0.6468943737019484,0.3338162611760611
280.0,137,217.0,457.0,36739,44997,21.4,0.0,"(34218.1, 37413.8]",43.2,42.0,45.1,"Fayette County, West Virginia",50.9,17.3,49.3,4.4,44.4,8.4,42.6,9.2,53.4,36.1,34.0,47.8,27.8,93.37637809,5.160978609,0.103219572,0.230596917,49.88397759,6.526136485,10.511594140108,0.6222637064693202,0.3044647420939174,0.48928571428571427,Low,High,Low,West Virginia,High,High,-0.943180116720355,0.05571526743856536
45.0,21,209.9,463.1,32705,8518,28.9,0.0,"[22640, 34218.1]",38.4,37.4,41.2,"Gilmer County, West Virginia",43.2,7.8,29.4,3.9,36.6,9.8,37.1,9.4,61.3,36.86765608612859,41.2,39.0,18.8,81.55946321,10.89773253,0.323924109,1.353540028,52.58746356,2.328431373,10.395283250395313,0.5282930265320498,0.24653674571495657,0.4666666666666667,Low,Middle,Low,West Virginia,High,High,-0.7397113964061486,0.06551566058805042
58.0,22,128.0,356.3,41039,11766,17.0,0.0,"(40362.7, 42724.4]",45.6,45.5,45.7,"Grant County, West Virginia",50.5,16.3,41.5,8.4,50.2,7.0,51.3,6.7,65.1,48.0,44.5,42.4,21.2,97.37621667,1.379602201,0.0,0.110029623,55.4011976,3.528435035,10.62227811307605,0.49294577596464384,0.18697943226245112,0.3793103448275862,Low,Middle,Middle,West Virginia,Middle,Low Middle,-0.21515719878957484,-0.006246499868697908
250.0,103,195.1,494.9,36996,35516,21.1,0.0,"(34218.1, 37413.8]",45.3,44.6,46.7,"Greenbrier County, West Virginia",52.2,22.4,36.6,13.3,44.0,11.2,48.2,7.2,61.9,43.3,39.1,43.0,22.1,94.14288118,2.299108395,0.38692312,0.42617619,47.48027903,4.354354354,10.51856507767415,0.7039080977587566,0.2900101362766077,0.412,Low,High,Low,West Virginia,Middle,Middle,-0.5333346558901384,0.013311229929120427
145.0,66,212.1,475.1,35980,23353,21.2,0.0,"(34218.1, 37413.8]",44.6,44.0,45.1,"Hampshire County, West Virginia",38.7,21.5,47.4,5.3,50.0,6.9,46.0,8.1,50.5,38.2,35.6,44.7,31.1,97.15827033,1.422988701,0.03398182,0.097697732,33.68648224,2.28320067,10.490718507504525,0.6209052370145163,0.2826189354686764,0.45517241379310347,Low,High,Low,West Virginia,High,Middle High,-1.1108887251983681,0.00970115957522738
218.0,85,184.1,495.0,48178,29815,12.9,0.0,"(48021.6, 51046.4]",45.6,44.1,47.9,"Hancock County, West Virginia",51.8,20.0,23.8,14.8,42.8,12.6,53.2,7.2,69.5,50.3,46.7,37.6,17.1,95.71537366,2.238336479,0.248336148,0.0,48.44113541,5.693029274,10.782657764306842,0.7311755827603555,0.285091396947845,0.38990825688073394,Middle,Middle,Middle,West Virginia,Middle,Middle,0.2879470337585591,0.02240780957451871
68.0,29,153.0,374.9,41010,13852,15.3,0.0,"(40362.7, 42724.4]",44.5,44.2,45.0,"Hardy County, West Virginia",50.1,24.9,54.2,3.9,47.7,9.3,53.7,7.9,65.8,44.72022665501299,46.9,38.2,19.1,94.69001148,4.355625718,0.46641791,0.215269805,51.41582622,2.955003358,10.621571218386105,0.4909038406006353,0.209356049667918,0.4264705882352941,Low,Middle,Middle,West Virginia,Middle,Middle High,-0.18348849703711412,0.043786352214702784
449.0,192,206.7,506.6,42121,68714,13.9,160.0838257,"(40362.7, 42724.4]",42.0,40.5,43.5,"Harrison County, West Virginia",52.4,17.7,38.6,9.5,39.5,13.5,53.0,7.4,64.0,47.3,44.0,39.5,21.3,95.67378765,1.820342619,0.526102206,0.155076959,49.69820377,5.060383303,10.64830170765649,0.6534330704077771,0.2794190412434147,0.42761692650334077,Middle,Middle,Middle,West Virginia,Middle,Middle High,-0.22188072170345396,0.037545982459539495
182.0,78,194.2,475.8,41121,29237,16.7,0.0,"(40362.7, 42724.4]",42.6,41.2,44.1,"Jackson County, West Virginia",54.5,13.7,41.2,9.2,41.1,11.7,46.8,6.8,66.9,48.8,45.6,40.6,21.3,97.40224228,0.66311184,0.201668034,0.061525841,55.45062062,4.735242361,10.62427421889949,0.6224988883948421,0.2667852378835038,0.42857142857142855,Low,Middle,Middle,West Virginia,Middle,Middle High,-0.1272211790517343,0.05040129189835446
245.0,101,178.2,423.7,66950,56482,10.2,0.0,"(61494.5, 125635]",39.7,39.9,39.3,"Jefferson County, West Virginia",53.3,14.1,24.5,6.2,32.1,18.2,60.3,8.4,73.3,58.6,53.8,29.2,14.6,88.24211251,6.96562466,1.622776832,0.56688521,54.09965078,4.995519713,11.111701351119319,0.4337665096845012,0.1788180305229985,0.4122448979591837,High,Low,High,West Virginia,Middle,Middle,1.2459782916905708,0.06033861203530061
1285.0,539,205.4,508.7,43936,188332,16.8,191.1517958,"(42724.4, 45201]",42.8,40.9,44.3,"Kanawha County, West Virginia",47.9,20.4,33.0,7.6,37.3,14.7,54.1,7.0,66.0,48.6,45.4,39.4,20.4,88.72214738,4.475812581,1.100738543,0.189222197,43.74346505,4.091266719,10.690489308567697,0.6823057154386933,0.28619671643693056,0.41945525291828795,Middle,Middle,Middle,West Virginia,Middle,Middle,-0.052583087726853966,0.03759176223360888
124.0,50,218.4,553.0,40568,16448,20.0,0.0,"(40362.7, 42724.4]",43.3,42.2,44.7,"Lewis County, West Virginia",50.6,15.6,41.8,9.8,49.7,9.3,47.1,7.2,56.4,39.4,35.5,46.8,26.9,97.8094195,0.535475234,0.261652671,0.0,49.87741342,4.374100719,10.610734857474855,0.7538910505836576,0.30398832684824906,0.4032258064516129,Low,High,Low,West Virginia,Middle,Middle,-0.6432821072922406,-0.018033460356852715
139.0,60,226.9,513.2,34295,21415,24.4,46.69624095,"(34218.1, 37413.8]",41.9,41.4,42.8,"Lincoln County, West Virginia",50.6,16.9,50.7,5.2,43.4,5.7,42.2,10.1,51.7,34.3,31.7,52.6,31.6,98.32560297,0.477736549,0.269016698,0.0,52.9271954,2.635983264,10.442754849933422,0.6490777492411861,0.2801774457156199,0.4316546762589928,Low,High,Low,West Virginia,High,Middle High,-1.1245108887590476,-0.008892105943409945
245.0,113,240.1,523.9,36437,34707,20.2,28.81263146,"(34218.1, 37413.8]",42.6,41.5,44.1,"Logan County, West Virginia",53.1,15.0,45.9,2.2,41.6,5.5,40.5,10.9,56.1,40.5,39.9,45.5,25.8,96.44574944,2.192393736,0.363534676,0.164988814,52.33924375,4.195713917,10.50334002087177,0.7059094707119601,0.32558273547123057,0.46122448979591835,Low,High,Low,West Virginia,High,High,-0.8289258045531485,0.03873410498358443
137.0,70,234.8,457.1,24707,19835,34.9,0.0,"[22640, 34218.1]",44.1,41.5,46.5,"McDowell County, West Virginia",46.0,32.3,51.6,3.1,43.9,3.2,27.0,13.3,39.7,24.3,23.4,58.5,37.7,89.35679262,9.157773291,0.0,0.572060379,44.26650367,3.860072376,10.11484188327536,0.6906982606503655,0.3529115200403327,0.5109489051094891,Low,High,Low,West Virginia,High,High,-2.0862262641332388,0.021157402752353227
373.0,144,188.8,510.9,43729,56925,17.9,0.0,"(42724.4, 45201]",41.1,39.7,42.7,"Marion County, West Virginia",51.0,11.2,34.4,5.4,40.9,14.5,54.5,4.9,67.6,46.947919780538086,48.5,35.7,18.3,93.95492164,3.62211657,0.515935904,0.0,49.46399182,5.113459745,10.685766776548883,0.6552481335090031,0.25296442687747034,0.38605898123324395,Middle,Middle,Middle,West Virginia,Middle,Low Middle,0.013958828319791589,0.010761453235862584
208.0,87,184.6,456.3,43356,31978,15.2,0.0,"(42724.4, 45201]",44.3,42.9,46.5,"Marshall County, West Virginia",57.7,8.5,45.9,9.2,45.1,11.4,50.9,7.0,70.3,50.4,47.8,37.5,17.0,97.66625616,0.858990148,0.406403941,0.172413793,55.3172673,3.174132305,10.677200380935641,0.6504471824379261,0.2720620426543249,0.4182692307692308,Middle,Middle,Middle,West Virginia,Middle,Middle,0.12526459945591972,0.054051764806664404
168.0,78,209.5,463.4,35799,27037,20.6,1146.576913,"(34218.1, 37413.8]",43.0,42.3,44.1,"Mason County, West Virginia",51.6,23.1,42.5,3.3,47.5,7.8,41.2,10.3,59.6,41.6,39.0,47.6,26.6,97.86584244,0.724877654,0.058873312,0.099348714,50.71046319,3.66910141,10.485675239037766,0.6213707142064578,0.2884935458815697,0.4642857142857143,Low,High,Low,West Virginia,High,High,-0.691055968020728,0.05615837285184422
418.0,184,210.0,493.8,35046,61164,20.5,81.74743313,"(34218.1, 37413.8]",42.3,40.6,43.7,"Mercer County, West Virginia",50.6,14.0,37.3,6.1,37.9,12.5,46.6,5.1,56.4,39.26670449038403,35.9,48.2,27.1,91.14249245,5.857071303,0.654376242,0.177731819,48.3713803,4.807972069,10.464416763268364,0.6834085409718135,0.30083055392060687,0.44019138755980863,Low,High,Low,West Virginia,High,Middle High,-0.8726038477656883,0.01893212075134304
170.0,76,198.4,456.6,40012,27451,16.1,0.0,"(37413.8, 40362.7]",43.2,42.1,44.4,"Mineral County, West Virginia",44.2,9.5,48.4,4.8,50.2,8.5,47.0,8.8,58.6,45.1,41.6,39.4,23.3,94.81534859,3.145379211,0.299045217,0.169338858,42.97381269,7.391231312,10.59693468810507,0.6192852719390914,0.27685694510218206,0.4470588235294118,Low,High,Middle,West Virginia,High,Middle High,-0.5630568364225939,0.0348277554159806
163.0,76,240.8,507.0,29839,25292,28.1,0.0,"[22640, 34218.1]",41.7,40.4,42.7,"Mingo County, West Virginia",55.6,17.2,47.3,0.6,41.0,5.4,38.1,14.1,51.6,35.6,34.1,50.9,31.3,96.08962246,1.415294435,0.408777139,0.327792989,52.14865363,2.796024928,10.303571541691813,0.6444725604934367,0.30049027360430175,0.4662576687116564,Low,High,Low,West Virginia,High,High,-1.3142591329355522,0.025300513841297556
382.0,132,155.9,444.5,43835,104236,22.5,95.9361449,"(42724.4, 45201]",30.0,28.5,31.3,"Monongalia County, West Virginia",37.2,3.5,23.8,14.5,29.9,20.6,55.4,5.8,76.5,63.8,57.1,23.3,12.4,90.57717276,3.597002007,3.150450486,0.353110123,40.42122317,4.001671717,10.688187864022686,0.36647607352546147,0.1266357112705783,0.34554973821989526,Middle,Low,High,West Virginia,Low,Low,0.4363180400301976,0.006775377670607707
86.0,39,190.7,434.6,36351,13506,19.3,0.0,"(34218.1, 37413.8]",46.6,45.4,48.3,"Monroe County, West Virginia",56.8,10.6,42.0,0.3,49.4,8.7,48.0,7.3,60.5,40.4,36.6,45.2,23.7,97.65619224,0.695009242,0.0,0.0,53.16042597,6.07651913,10.500976992899632,0.6367540352435954,0.28876055086628166,0.45348837209302323,Low,High,Low,West Virginia,High,Middle High,-0.6258667684774271,0.04905438467075812
105.0,52,209.7,425.4,44446,17524,13.0,0.0,"(42724.4, 45201]",46.1,45.8,46.6,"Morgan County, West Virginia",47.7,13.3,53.1,7.6,41.2,11.1,49.3,12.3,63.7,47.51228941763958,38.4,38.4,17.3,97.35622318,0.772532189,0.417739628,0.0,45.14153511,4.090035685,10.702030248141414,0.5991782698014152,0.2967359050445104,0.49523809523809526,Middle,Middle,Middle,West Virginia,High,High,-0.1394148288708127,0.10393603319042566
160.0,72,199.8,455.5,36375,25594,19.6,0.0,"(34218.1, 37413.8]",43.4,42.3,44.7,"Nicholas County, West Virginia",57.9,14.7,44.2,1.3,48.0,8.2,46.5,8.4,61.6,40.558309047407704,42.2,44.1,23.5,99.32896259,0.034708831,0.208252989,0.0,55.74302401,3.346456693,10.501637004473794,0.6251465187153239,0.28131593342189576,0.45,Low,High,Low,West Virginia,High,Middle High,-0.5732124514737914,0.050080111925252135
308.0,123,184.4,500.9,40195,43066,18.4,301.8622579,"(37413.8, 40362.7]",43.3,41.3,45.1,"Ohio County, West Virginia",45.2,8.9,26.7,8.1,34.5,18.7,56.0,5.5,70.9,44.023648578746474,47.9,36.2,16.8,93.13655843,4.152439444,0.850195935,0.288745789,42.92698827,3.257226644,10.601497888762061,0.7151813495564947,0.2856081363488599,0.39935064935064934,Low,Middle,Low,West Virginia,Middle,Middle,0.02216911794945048,0.037595419395819674
45.0,19,139.8,381.8,38204,7229,16.7,0.0,"(37413.8, 40362.7]",49.1,47.4,50.3,"Pendleton County, West Virginia",55.3,25.9,41.3,3.6,46.0,7.3,45.4,4.9,59.8,41.0,31.0,45.3,24.1,95.9605512,2.728992164,0.040529587,0.108078898,54.86268174,7.611940299,10.550695501154628,0.6224927375847282,0.2628302669802186,0.4222222222222222,Low,High,Low,West Virginia,Middle,Middle High,-0.581787035854015,0.014915626124264336
